Country,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Byelarus,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,13.0,65.0,55.0,388.0,1047.0,1100.0,1210.0,1166.0,1240.0,1204.0,1247.0,1099,965.0,985.0,991.0,952.0,992.0,964.0,946.0,1058.0,1026.0,999.0,1104.0,1199.0,1100.0,1146.0,1128.0,1142.0,1178.0
Cambodia,1.0,2.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,3.0,7.0,10.0,13.0,15,17.0,27.0,27.0,54.0,56.0,74.0,91.0,94.0,134.0,145.0,153.0,190.0,208.0,229.0,270.0,327.0,292.0
Cameroon,21.0,16.0,25.0,38.0,35.0,30.0,46.0,44.0,38.0,33.0,44.0,31.0,42.0,50.0,45.0,61.0,90.0,108.0,123.0,150.0,141.0,176.0,145.0,134.0,178.0,176.0,173.0,188,195.0,244.0,279.0,303.0,309.0,406.0,439.0,502.0,511.0,578.0,612.0,618.0,720.0,799.0,836.0,878.0,1007.0
Canada,14852.0,15349.0,16305.0,17029.0,18924.0,19542.0,19944.0,20439.0,20709.0,21978.0,23330.0,24647.0,25699.0,26494.0,27910.0,28155.0,29450.0,30155.0,31067.0,32564.0,33022.0,34247.0,34936.0,35050.0,34177.0,33702.0,33828.0,34586,34148.0,35245.0,38031.0,40132.0,43763.0,46918.0,48728.0,52464.0,55019.0,56609.0,59031.0,62016.0,64931.0,66389.0,67991.0,69944.0,69980.0
Central African Republic,2.0,2.0,2.0,3.0,5.0,7.0,7.0,9.0,11.0,8.0,7.0,11.0,5.0,14.0,17.0,17.0,26.0,15.0,14.0,20.0,9.0,11.0,18.0,8.0,16.0,12.0,13.0,13,11.0,12.0,13.0,17.0,20.0,20.0,21.0,19.0,24.0,21.0,25.0,31.0,31.0,32.0,33.0,43.0,25.0
Chad,13.0,9.0,8.0,4.0,6.0,5.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,2.0,1.0,2.0,2.0,1.0,6.0,2.0,8.0,3.0,6.0,4.0,5.0,6,9.0,12.0,13.0,8.0,21.0,25.0,12.0,14.0,19.0,11.0,20.0,15.0,16.0,28.0,24.0,37.0,36.0
Chile,424.0,392.0,408.0,428.0,417.0,462.0,532.0,547.0,655.0,715.0,793.0,768.0,799.0,874.0,914.0,984.0,1077.0,1122.0,1135.0,1214.0,1295.0,1290.0,1435.0,1525.0,1565.0,1672.0,1822.0,1922,2074.0,2383.0,2623.0,2731.0,3027.0,3271.0,3749.0,4254.0,4805.0,5099.0,5807.0,6430.0,6643.0,7587.0,8292.0,9157.0,9202.0
China,14.0,85.0,57.0,67.0,147.0,213.0,446.0,840.0,1657.0,2482.0,2812.0,3142.0,3454.0,4158.0,5188.0,6183.0,6826.0,7548.0,7955.0,8718.0,9488.0,10314.0,13000.0,14737.0,16670.0,19551.0,23602.0,29920,35366.0,39558.0,47793.0,59364.0,71972.0,86043.0,95562.0,109301.0,126360.0,139402.0,162943.0,189478.0,222853.0,256408.0,287310.0,315479.0,342562.0
Colombia,79.0,93.0,105.0,102.0,139.0,140.0,111.0,119.0,134.0,137.0,134.0,126.0,133.0,156.0,138.0,155.0,167.0,203.0,181.0,211.0,221.0,263.0,306.0,370.0,467.0,490.0,529.0,665,645.0,737.0,730.0,818.0,911.0,1084.0,1418.0,2136.0,2384.0,2748.0,3081.0,3440.0,3580.0,3583.0,4142.0,4642.0,5058.0
Comoros,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,2.0,0.01,0.01,3.0,2.0,1.0,0.01,0.01,1.0,2.0,1,1.0,1.0,2.0,3.0,4.0,1.0,7.0,3.0,1.0,3.0,6.0,3.0,2.0,0.01,6.0,16.0,9.0
